data|link|titulo
31/05/19 - Sexta-feira|https://www.jcnet.com.br/Politica/2019/05/definidas-as-novas-datas-para-pagamento-das-taxas-de-fiscalizacao.html|Definidas as novas datas para pagamento das taxas de fiscalização
|https://www.jcnet.com.br/Politica/2019/05/meis-tem-ate-hoje-para-fazer-declaracao-anual-do-simples-nacional.html|MEIs têm até hoje para fazer Declaração Anual do Simples Nacional
|https://www.jcnet.com.br/Politica/2019/05/governo-aumenta-despesa-com-saude-e-vai-ter-de-cortar-em-outras-areas.html|Governo aumenta despesa com saúde e vai ter de cortar em outras áreas
30/05/19 - Quinta-feira|https://www.jcnet.com.br/Politica/2019/05/anexo-para-mulheres-vitimas-de-violencia-e-sugerido-em-audiencia.html|Anexo para mulheres vítimas de violência é sugerido em audiência
|https://www.jcnet.com.br/Politica/2019/05/filas-nas-unidades-de-saude-ficarao-online.html|Filas nas unidades de saúde ficarão online
|https://www.jcnet.com.br/Politica/2019/05/ato-pela-educacao-acontece-nesta-quintafeira.html|Ato pela educação acontece nesta quinta-feira
|https://www.jcnet.com.br/Politica/2019/05/pagamento-de-taxas-de-fiscalizacao-e-prorrogado-em-1-mes.html|Pagamento de taxas de fiscalização é prorrogado em 1 mês
29/05/19 - Quarta-feira|https://www.jcnet.com.br/Politica/2019/05/violencia-em-escolas-sera-tema-de-audiencia-publica-em-bauru.html|Violência em escolas será discutida nesta quinta-feira
|https://www.jcnet.com.br/Politica/2019/05/na-comissao-de-transportes-taxistas-pedem-bandeirada-e-bandeira-2-facultativas.html|Na Comissão de Transportes, taxistas pedem bandeirada e Bandeira 2 facultativas
|https://www.jcnet.com.br/Politica/2019/05/stj-nega-liminar-para-o-municipio-em-precatorio-da-floresta-urbana.html|STJ nega liminar para o município em precatório da floresta urbana
28/05/19 - Terça-feira|https://www.jcnet.com.br/Politica/2019/05/advogados-afirmam-que-prefeitura-fez-doacao-de-area-que-nao-era-mais-dela.html|Advogados afirmam que prefeitura fez doação de área que não era mais dela
|https://www.jcnet.com.br/Politica/2019/05/vereadores-temem-novas-indenizacoes-e-defendem-revogar-apas-para-evitar-acoes.html|Vereadores temem novas indenizações e defendem revogar APAs para evitar ações
27/05/19 - Segunda-feira|https://www.jcnet.com.br/Politica/2019/05/audiencia-publica-discute-combate-a-violencia-contra-a-mulher.html|Audiência Pública discute combate à violência contra a mulher
|https://www.jcnet.com.br/Politica/2019/05/sessao-da-camara-de-bauru-vai-discutir-parcelamento-de-divida-do-municipio.html|Sessão da Câmara de Bauru vai discutir parcelamento de dívida do município
26/05/19 - Domingo|https://www.jcnet.com.br/Politica/2019/05/atos-em-apoio-ao-governo-ocorrem-em-diversas-cidades.html|Atos em apoio ao governo ocorrem em diversas cidades
30/05/19 - Quinta-feira|https://www.jcnet.com.br/Economia/2019/05/de-julho-em-diante-brasil-comeca-a-decolar-diz-guedes.html|De julho em diante, Brasil começa a decolar, diz Guedes
|https://www.jcnet.com.br/Economia/2019/05/pib-do-brasil-cai-02-no-1o-trimestre-e-tem-primeira-retracao-desde-2016.html|PIB do Brasil cai 0,2% no 1º trimestre e tem primeira retração desde 2016
|https://www.jcnet.com.br/Economia/2019/05/procon-procura-parceiros-para-tratar-compradores-compulsivos.html|Procon procura parceiros para tratar compradores compulsivos
29/05/19 - Quarta-feira|https://www.jcnet.com.br/Economia/2019/05/justica-rejeita-proposta-da-azul-pela-avianca.html|Justiça rejeita proposta da Azul pela Avianca
|https://www.jcnet.com.br/Economia/2019/05/classe-c-ja-lidera-potencial-de-consumo.html|Classe C já lidera potencial de consumo
28/05/19 - Terça-feira|https://www.jcnet.com.br/Economia/2019/05/magazine-luiza-tera-lojas-dentro-de-hipermercados-do-carrefour.html|Magazine Luiza terá lojas dentro de hipermercados do Carrefour
|https://www.jcnet.com.br/Economia/2019/05/evento-hoje-na-ite-aborda-criptomoedas.html|Evento hoje na ITE aborda criptomoedas
27/05/19 - Segunda-feira|https://www.jcnet.com.br/Economia/2019/05/fiat-chrysler-propoe-fusao-de-iguais-com-a-renault.html|Fiat Chrysler propõe fusão de iguais com a Renault
25/05/19 - Sábado|https://www.jcnet.com.br/Economia/2019/05/fitch-reafirma-rating-da-turquia-em-bb-com-perspectiva-negativa.html|Fitch reafirma rating da Turquia em BB, com perspectiva negativa
|https://www.jcnet.com.br/Economia/2019/05/fitch-reafirma-rating-de-portugal-em-bbb-e-altera-perspectiva-para-positiva.html|Fitch reafirma rating de Portugal em BBB e altera perspectiva para positiva
|https://www.jcnet.com.br/Economia/2019/05/petrobras-gasolina-vai-ficar-em-media-00907litro-mais-barata.html|Petrobras: gasolina vai ficar, em média, R$ 0,0907/litro mais barata
|https://www.jcnet.com.br/Economia/2019/05/governo-abre-consulta-publica-sobre-nova-legislacao-para-startups.html|Governo abre consulta pública sobre nova legislação para startups
23/05/19 - Quinta-feira|https://www.jcnet.com.br/Economia/2019/05/ipea-eleva-previsao-de-ipca-em-2019-de-385-para-408.html|Ipea eleva previsão de IPCA em 2019 de 3,85% para 4,08%
|https://www.jcnet.com.br/Economia/2019/05/regiao-tera-polos-em-prol-da-industria.html|Região terá polos em prol da indústria
|https://www.jcnet.com.br/Economia/2019/05/de-olho-em-rotina-corrida-confianca-abre-loja-no-centro-com-20-mil-itens.html|De olho em rotina corrida, Confiança abre loja no Centro com 20 mil itens
31/05/19 - Sexta-feira|https://www.jcnet.com.br/Geral/2019/05/seminario-discutira-politica-nacional-de-residuos-solidos.html|Seminário discutirá Política Nacional de Resíduos Sólidos
|https://www.jcnet.com.br/Geral/2019/05/5a-cidade-no-estado-com-mais-violencia-escolar-bauru-se-articula-para-reagir.html|5.ª cidade no Estado com mais violência escolar, Bauru se articula para reagir
|https://www.jcnet.com.br/Geral/2019/05/bauru-tem-segundo-ato-em-prol-da-educacao.html|Bauru tem segundo ato em prol da Educação
|https://www.jcnet.com.br/Geral/2019/05/rea-anexa-ao-horto-abrigara-centro-para-tratar-caes-e-gatos.html|Área anexa ao Horto abrigará centro para tratar cães e gatos
|https://www.jcnet.com.br/Geral/2019/05/cobertura-vacinal-da-gripe-atinge-785-e-acao-sera-neste-sabado.html|Cobertura vacinal da gripe atinge 78,5% e ação será neste sábado
30/05/19 - Quinta-feira|https://www.jcnet.com.br/Geral/2019/05/iniciativa-solidaria-reunira-cerca-de-40-pessoas-em-prol-do-hemonucleo-do-hb.html|Grupo de airsoft irá doar sangue amanhã
|https://www.jcnet.com.br/Geral/2019/05/pesquisadores-encontram-fosseis-raros-de-aves-em-presidente-prudente.html|Pesquisadores encontram fósseis raros de aves em Presidente Prudente
|https://www.jcnet.com.br/Geral/2019/05/exposicao-fotografica-natureza-espelhada-e-inaugurada-no-jardim-botanico.html|Exposição fotográfica Natureza Espelhada é inaugurada no Jardim Botânico
|https://www.jcnet.com.br/Geral/2019/05/geladeira-das-frutas-aguca-partilha-e-confianca-entre-estudantes-da-unesp.html|Geladeira das Frutas 'aguça' partilha e confiança entre estudantes da Unesp
|https://www.jcnet.com.br/Geral/2019/05/fiscalizacao-acha-irregularidades-em-merenda-de-escola.html|Fiscalização acha irregularidades em merenda de escola
|https://www.jcnet.com.br/Geral/2019/05/associacao-ira-propor-reajuste-de-100-a-pm-na-gestao-doria.html|Associação irá propor reajuste de 100% à PM na gestão Doria
29/05/19 - Quarta-feira|https://www.jcnet.com.br/Geral/2019/05/bauru-contra-a-gripe-sera-realizada-no-sabadoem-unidades-de-saude.html|'Bauru Contra a Gripe' será realizada no sábado em unidades de saúde
|https://www.jcnet.com.br/Geral/2019/05/alunos-realizam-primeira-colheita-em-horta-no-jardim-petropolis.html|Alunos realizam primeira colheita em horta no Jardim Petrópolis
|https://www.jcnet.com.br/Geral/2019/05/encontro-hoje-debate-violencia-contra-mulher-e-delegacia-24h.html|Encontro hoje debate violência contra mulher e delegacia 24h
|https://www.jcnet.com.br/Geral/2019/05/dia-do-desafio-2019-e-realizado-nesta-quartafeira.html|Dia do Desafio 2019 é realizado nesta quarta-feira
31/05/19 - Sexta-feira|https://www.jcnet.com.br/Policia/2019/05/veiculo-cruza-nacoes-sobe-em-barranco-e-colide-contra-poste.html|Veículo cruza Nações, sobe em barranco e colide contra poste
30/05/19 - Quinta-feira|https://www.jcnet.com.br/Policia/2019/05/incendio-consome-casa-de-madeira-no-nucelo-geisel.html|Incêndio consome casa de madeira no Núcleo Geisel
|https://www.jcnet.com.br/Policia/2019/05/jovem-furta-veiculo-e-e-perseguido-por-moradores-ate-ser-preso.html|Seguido por vítima, ladrão pula de carro em movimento e é preso
|https://www.jcnet.com.br/Policia/2019/05/bauru-homem-e-preso-apos-atacar-idoso-furtar-e-fugir-a-cavalo.html|Homem é detido após atacar idoso, furtar e tentar fugir a cavalo
|https://www.jcnet.com.br/Policia/2019/05/achada-morta-idosa-foi-estuprada-e-asfixiada-e-filho-e-o-principal-suspeito.html|Achada morta, idosa foi estuprada e asfixiada e filho é o principal suspeito
|https://www.jcnet.com.br/Policia/2019/05/esfaqueado-varias-vezes-no-torax-pedreiro-e-internado-em-uti.html|Esfaqueado várias vezes no tórax, pedreiro é internado em UTI
29/05/19 - Quarta-feira|https://www.jcnet.com.br/Policia/2019/05/dupla-fica-ferida-em-acidente-de-moto-em-bauru.html|Dupla fica ferida em acidente de moto, em Bauru
|https://www.jcnet.com.br/Policia/2019/05/jovem-sai-de-igreja-e-e-assaltado-por-grupo-armado-com-punhal.html|Grupo usa punhal para assaltar jovem no Centro de Bauru
|https://www.jcnet.com.br/Policia/2019/05/golpistas-usam-ate-campanha-do-agasalho-para-fisgar-vitimas.html|Golpistas usam até Campanha do Agasalho para fisgar vítimas
28/05/19 - Terça-feira|https://www.jcnet.com.br/Policia/2019/05/operacao-cronos-2-busca-52-foragidos-na-regiao-de-bauru.html|'Cronos 2' faz 50 prisões na região
|https://www.jcnet.com.br/Policia/2019/05/menino-de-8-anos-diz-ter-sido-abusado-sexualmente-dentro-de-abrigo.html|Menino de 8 anos diz ter sido abusado sexualmente dentro de abrigo
26/05/19 - Domingo|https://www.jcnet.com.br/Policia/2019/05/jovens-sao-presos-com-moto-furtada.html|Jovens são presos com moto furtada
|https://www.jcnet.com.br/Policia/2019/05/detento-do-semiaberto-e-flagrado-furtando-uisque.html|Detento do semiaberto é flagrado furtando uísque
|https://www.jcnet.com.br/Policia/2019/05/jovem-de-18-anos-fica-gravemente-ferido-em-acidente-de-moto.html|Jovem de 18 anos fica gravemente ferido em acidente de moto
|https://www.jcnet.com.br/Policia/2019/05/dois-adolescentes-sao-feridos-com-golpes-de-faca-em-duartina.html|Dois adolescentes são feridos com golpes de faca em Duartina
30/05/19 - Quinta-feira|https://www.jcnet.com.br/Bairros/2019/05/lixo-bairros-passarao-a-ter-coleta-pela-manha.html|Lixo: bairros passarão a ter coleta pela manhã
26/05/19 - Domingo|https://www.jcnet.com.br/Bairros/2019/05/cumpadis-e-cumadis-a-festanca-vai-comecar.html|'Cumpadis' e 'cumadis', a festança vai começar!
19/05/19 - Domingo|https://www.jcnet.com.br/Bairros/2019/05/saturada-duque-de-caxias-aguarda-por-dispositivos-para-aliviar-o-transito.html|Saturada, Duque de Caxias aguarda por dispositivos para 'aliviar' o trânsito
12/05/19 - Domingo|https://www.jcnet.com.br/Bairros/2019/05/pobreza-volta-a-nivel-critico-e-familias-passam-a-sobreviver-com-quase-nada.html|Pobreza volta a nível crítico e famílias passam a sobreviver com quase nada
07/05/19 - Terça-feira|https://www.jcnet.com.br/Bairros/2019/05/depredacao-na-regiao-da-getulio-vargas-expoe-desagregacao-social.html|Depredação na região da Getúlio Vargas expõe desagregação social
05/05/19 - Domingo|https://www.jcnet.com.br/Bairros/2019/05/100-anos-de-fe-oracao-e-servico.html|100 anos de fé, oração e serviço
28/04/19 - Domingo|https://www.jcnet.com.br/Bairros/2019/04/a-bauru-dos-consertos.html|A Bauru dos consertos
21/04/19 - Domingo|https://www.jcnet.com.br/Bairros/2019/04/transito-e-causa-de-reclamacao-unanime-na-regiao-da-avenida-castelo-branco.html|Trânsito é causa de reclamação unânime na região da avenida Castelo Branco
19/04/19 - Sexta-feira|https://www.jcnet.com.br/Bairros/2019/04/parlamentares-criticam-obras-de-asfalto-pela-metade-em-bairros.html|Parlamentares criticam obras de asfalto 'pela metade' em bairros
18/04/19 - Quinta-feira|https://www.jcnet.com.br/Bairros/2019/04/mato-alto-e-folhagens-se-tornam-obstaculos-em-ciclovias-de-bauru.html|Mato alto e folhagens se tornam obstáculos em ciclovias de Bauru
14/04/19 - Domingo|https://www.jcnet.com.br/Bairros/2019/04/de-hosana-a-crucificao-domingo-de-ramos-rememora-inicio-da-ultima-semana-de-cristo.html|De 'hosana' a 'crucifica-o!', Domingo de Ramos rememora início da última semana de Cristo
12/04/19 - Sexta-feira|https://www.jcnet.com.br/Bairros/2019/04/grupo-interdita-a-castelo-branco-por-pediatras-em-upa.html|Grupo interdita a Castelo Branco por pediatras em UPA
07/04/19 - Domingo|https://www.jcnet.com.br/Bairros/2019/04/referencia-mundial-em-hanseniase-lauro-tem-tecnica-unica-em-resistencia-a-medicacao.html|Referência mundial em hanseníase, 'Lauro' tem técnica única em resistência a medicação
31/03/19 - Domingo|https://www.jcnet.com.br/Bairros/2019/03/bauruenses-criam-fortalezas-contra-pragas.html|Bauruenses criam 'fortalezas' contra pragas
24/03/19 - Domingo|https://www.jcnet.com.br/Bairros/2019/03/apesar-do-apelo-das-novas-tecnologias-movimento-escoteiro-atrai-e-se-reinventa.html|Apesar do apelo das novas tecnologias, Movimento Escoteiro atrai e se reinventa
31/05/19 - Sexta-feira|https://www.jcnet.com.br/Esportes/2019/05/mane-se-diz-focado-e-feliz-no-liverpool-apesar-de-interesse-do-real.html|Mané se diz focado e feliz no Liverpool apesar de interesse do Real
|https://www.jcnet.com.br/Esportes/2019/05/organizada-do-sao-paulo-marca-protesto-para-sabado.html|Organizada do São Paulo marca protesto para sábado
|https://www.jcnet.com.br/Esportes/2019/05/neymarfica-fora-de-mais-um-treino-da-selecao-para-a-copa-america.html|Neymar fica fora de mais um treino da seleção para a Copa América
|https://www.jcnet.com.br/Esportes/2019/05/lnb-amplia-estrangeiros-no-nbb-e-obriga-participacao-na-liga.html|LNB amplia estrangeiros no NBB e obriga participação na Liga
|https://www.jcnet.com.br/Esportes/2019/05/com-2-gols-no-fim-river-plate-bate-athleticopr-e-fatura-arecopa.html|Com 2 gols no fim, River Plate bate Athletico-PR e fatura a Recopa
|https://www.jcnet.com.br/Esportes/2019/05/sem-sustospalmeirasvence-sampaio-correa-e-esta-nas-quartas-da-copa-do-brasil.html|Sem sustos, Palmeiras vence Sampaio Corrêa e está nas quartas da Copa do Brasil
|https://www.jcnet.com.br/Esportes/2019/05/futebol-na-luso-tem-inicio-das-disputas-na-categoria-livre.html|Futebol na Luso tem início das disputas na categoria Livre
30/05/19 - Quinta-feira|https://www.jcnet.com.br/Esportes/2019/05/corinthians-vence-e-avanca-na-sulamericana-2-a-0.html|Corinthians vence Deportivo Lara e avança na Sul-Americana: 2 a 0
|https://www.jcnet.com.br/Esportes/2019/05/noroeste-propoe-venda-do-complexo-para-a-prefeitura.html|Noroeste: Definiu valor
|https://www.jcnet.com.br/Esportes/2019/05/xv-faz-parceria-com-fabrica-de-refrigerante.html|XV faz parceria com fábrica de refrigerante
|https://www.jcnet.com.br/Esportes/2019/05/mais-dois-jogadores-se-integram-a-selecao-brasileira-na-granja-comary.html|Mais dois jogadores se integram à seleção brasileira na Granja Comary
|https://www.jcnet.com.br/Esportes/2019/05/fluminense-perde-mas-garante-vaga-nas-oitavas-da-copa-sulamericana.html|Fluminense perde, mas garante vaga nas oitavas da Copa Sul-Americana
|https://www.jcnet.com.br/Esportes/2019/05/atletismo-atletas-da-abda-melhoram-posicoes-no-ranking-apos-torneio.html|Atletismo: Atletas da ABDA melhoram posições no ranking após torneio
|https://www.jcnet.com.br/Esportes/2019/05/copa-sulamericana-embalado.html|Copa Sul-Americana: Embalado
|https://www.jcnet.com.br/Esportes/2019/05/copa-do-brasil-foco.html|Copa do Brasil: Foco
31/05/19 - Sexta-feira|https://www.jcnet.com.br/Regional/2019/05/curtametragem-produzido-em-jau-tem-lancamento-hoje.html|Curta-metragem produzido em Jaú tem lançamento hoje
|https://www.jcnet.com.br/Regional/2019/05/pm-ambiental-flagra-cacador-e-apreende-arma-em-agudos.html|PM Ambiental flagra caçador e apreende arma em Agudos
|https://www.jcnet.com.br/Regional/2019/05/campanha-de-vacinacao-contra-a-gripe-e-prorrogada.html|Campanha de Vacinação contra a gripe é prorrogada em Botucatu
|https://www.jcnet.com.br/Regional/2019/05/loja-e-destruida-por-incendio-no-centro-de-pirajui.html|Loja é destruída por incêndio no Centro de Pirajuí
|https://www.jcnet.com.br/Regional/2019/05/jau-faz-hoje-acao-de-conscientizacao-e-combate-ao-tabagismo.html|Jaú faz hoje ação de conscientização e combate ao tabagismo
|https://www.jcnet.com.br/Regional/2019/05/rotary-de-lencois-paulista-promove-corrida-no-domingo.html|Rotary de Lençóis Paulista promove corrida no domingo
|https://www.jcnet.com.br/Regional/2019/05/proposta-leva-biodiversidade-e-grafite-para-escolas-de-agudos.html|Proposta leva biodiversidade e grafite para escolas de Agudos
|https://www.jcnet.com.br/Regional/2019/05/festival-de-comida-de-boteco-prossegue-hoje-em-brotas.html|Festival de Comida de Boteco prossegue hoje em Brotas
|https://www.jcnet.com.br/Regional/2019/05/projeto-gira-mundi-chega-a-lencois.html|Projeto Gira Mundi chega a Lençóis
|https://www.jcnet.com.br/Regional/2019/05/festa-de-santo-antonio-tem-inicio-nesta-sextafeira-em-agudos.html|Festa de Santo Antônio tem início nesta sexta-feira em Agudos
|https://www.jcnet.com.br/Regional/2019/05/mp-investiga-condenado-em-cargo-de-comissao-no-gabinete-de-deputado.html|MP investiga condenado em cargo de comissão no gabinete de deputado
30/05/19 - Quinta-feira|https://www.jcnet.com.br/Regional/2019/05/sao-manuel-recolhe-veiculos-abandonados-na-rua.html|São Manuel recolhe veículos abandonados na rua
|https://www.jcnet.com.br/Regional/2019/05/projeto-guri-participa-do-encerramento-do-maio-amarelo.html|Projeto Guri participa do encerramento do Maio Amarelo
|https://www.jcnet.com.br/Policia/2019/05/homem-e-socorrido-em-iacanga-apos-ser-baleado-em-chacara.html|Comerciante é baleado durante atentado em Arealva
|https://www.jcnet.com.br/Regional/2019/05/dupla-e-presa-em-flagrante-com-droga-em-biqueira-de-iacanga.html|Dupla é presa em flagrante com droga em 'biqueira' de Iacanga
31/05/19 - Sexta-feira|https://www.jcnet.com.br/Cultura/2019/05/sede-de-sindicato-apresenta-evento-musical-hoje-a-partir-das-21h.html|Sede de sindicato apresenta evento musical, hoje, a partir das 21h
|https://www.jcnet.com.br/Cultura/2019/05/teatro-tem-espetaculo-de-danca.html|Teatro tem espetáculo de dança
|https://www.jcnet.com.br/Cultura/2019/05/hoje-tem-sarau-di-verso-e-terror-no-bosque-no-sesc-de-bauru.html|Hoje tem 'Sarau Di Verso' e 'Terror no Bosque' no Sesc de Bauru
|https://www.jcnet.com.br/Cultura/2019/05/cordas-sinfonica-tera-aula-aberta-hoje-e-publico-pode-participar.html|Cordas: Sinfônica terá aula aberta hoje e público pode participar
|https://www.jcnet.com.br/Cultura/2019/05/banda-que-nao-larga-a-criacao.html|Banda que não larga a criação
30/05/19 - Quinta-feira|https://www.jcnet.com.br/Cultura/2019/05/katy-perry-lanca-novo-single-never-really-over.html|Katy Perry lança novo single, 'Never Really Over'
|https://www.jcnet.com.br/Cultura/2019/05/palmas-para-elton-john.html|Palmas para Elton John
|https://www.jcnet.com.br/Cultura/2019/05/casa-de-cultura-tem-concurso-poetico.html|Casa de Cultura tem concurso poético
29/05/19 - Quarta-feira|https://www.jcnet.com.br/Cultura/2019/05/centenas-festejam-como-maria-antonieta-em-baile-a-fantasiaem-versalhes.html|Centenas festejam como Maria Antonieta em baile a fantasia em Versalhes
|https://www.jcnet.com.br/Cultura/2019/05/grupo-paulistano-terno-rei-faz-show-gratuito-hoje-em-bauru.html|Grupo paulistano Terno Rei faz show gratuito hoje em Bauru
|https://www.jcnet.com.br/Cultura/2019/05/duas-vezes-retro-e-muitas-vezes-solidaria.html|Duas vezes retrô (e muitas vezes solidária)
|https://www.jcnet.com.br/Cultura/2019/05/vencedor-de-cannes-parasitemostra-lacuna-entre-familias-ricas-e-pobres.html|Vencedor de Cannes, 'Parasite' mostra lacuna entre famílias ricas e pobres
28/05/19 - Terça-feira|https://www.jcnet.com.br/Cultura/2019/05/gabriel-felizardo-filho-de-solimoes-estreia-como-sertanejo-gay.html|Gabriel Felizardo, filho de Solimões, estreia como 'sertanejo gay'
|https://www.jcnet.com.br/Cultura/2019/05/fas-se-despedem-do-cantor-gabriel-diniz.html|Cantor Gabriel Diniz é enterrado em João Pessoa
|https://www.jcnet.com.br/Cultura/2019/05/cantor-de-cabo-verde-faz-show-em-sao-paulo.html|Cantor de Cabo Verde faz show em São Paulo
31/05/19 - Sexta-feira|https://www.jcnet.com.br/Nacional/2019/05/depois-de-quatro-anos-em-queda-carteira-assinada-volta-a-crescer.html|Depois de quatro anos em queda, carteira assinada volta a crescer
|https://www.jcnet.com.br/Nacional/2019/05/microempreendedor-tem-ate-hoje-para-entregar-declaracao-do-simples.html|Microempreendedor tem até hoje para entregar declaração do Simples
|https://www.jcnet.com.br/Nacional/2019/05/brasil-teve-queda-significativa-no-numero-de-fumantes-diz-secretaria.html|Brasil teve queda significativa no número de fumantes, diz secretária
|https://www.jcnet.com.br/Nacional/2019/05/bolsonaro-e-flavio-se-reunem-com-corregedor-do-cnj-no-planalto.html|Bolsonaro e Flávio se reúnem com corregedor do CNJ no Planalto
|https://www.jcnet.com.br/Nacional/2019/05/justica-autoriza-coercitiva-do-presidente-do-santander-para-depor-na-cpi.html|Justiça autoriza coercitiva do presidente do Santander para depor na CPI
|https://www.jcnet.com.br/Nacional/2019/05/crescer-depende-das-reformas-e-nao-de-truques-diz-paulo-guedes.html|Crescer depende das reformas e não de truques, diz Paulo Guedes
|https://www.jcnet.com.br/Nacional/2019/05/bolsonaro-tende-a-vetar-emenda-que-proibe-cobranca-de-bagagens-diz-ministro.html|Bolsonaro tende a vetar emenda que proíbe cobrança de bagagens, diz ministro
|https://www.jcnet.com.br/Nacional/2019/05/em-sao-paulo-manifestacao-contra-cortes-na-educacao-tem-adesao-menor.html|Em São Paulo, manifestação contra cortes na Educação tem adesão menor
|https://www.jcnet.com.br/Nacional/2019/05/aneel-nega-pedidos-de-impugnacao-de-leilao-de-energia-para-roraima.html|Aneel nega pedidos de impugnação de leilão de energia para Roraima
|https://www.jcnet.com.br/Nacional/2019/05/agentes-de-forca-federal-comecam-a-atuar-em-presidios-do-amazonas.html|Agentes de força federal começam a atuar em presídios do Amazonas
30/05/19 - Quinta-feira|https://www.jcnet.com.br/Nacional/2019/05/ministerio-da-saude-deve-reduzir-exigencia-a-medicos-cubanos.html|Ministério da Saúde deve reduzir exigência a médicos cubanos
|https://www.jcnet.com.br/Nacional/2019/05/lorenzoni-diz-que-dem-foi-fundamental-para-eleicao-de-bolsonaro.html|Lorenzoni diz que DEM foi fundamental para eleição de Bolsonaro
|https://www.jcnet.com.br/Nacional/2019/05/junto-com-psl-novo-e-a-sigla-mais-fiel-ao-governo-na-camara.html|Junto com PSL, Novo é a sigla mais 'fiel' ao governo na Câmara
|https://www.jcnet.com.br/Nacional/2019/05/rumadinho-forcatarefa-apresentara-denuncia-em-ate-60-dias.html|rumadinho: força-tarefa apresentará denúncia em até 60 dias
|https://www.jcnet.com.br/Nacional/2019/05/procuradoria-diz-que-nao-orientou-nem-recomendou-silencio-a-palocci.html|Procuradoria diz que 'não orientou, nem recomendou' silêncio a Palocci
31/05/19 - Sexta-feira|https://www.jcnet.com.br/Internacional/2019/05/trump-diz-que-tarifas-contra-mexico-por-imigracao-ilegal-podem-subir-a-ate-25.html|Trump diz que tarifas contra México por imigração ilegal podem subir a até 25%
|https://www.jcnet.com.br/Internacional/2019/05/euapodem-mais-do-que-dobrar-tarifas-sobre-importacoes-da-china-diz-pence.html|EUA podem 'mais do que dobrar' tarifas sobre importações da China, diz Pence
30/05/19 - Quinta-feira|https://www.jcnet.com.br/Internacional/2019/05/nepal-vai-adotar-novas-regras-apos-mortes-no-everest.html|Nepal vai adotar novas regras após mortes no Everest
|https://www.jcnet.com.br/Internacional/2019/05/netanyahu-nao-consegue-governo-e-parlamento-de-israel-aprova-nova-eleicao.html|Netanyahu não consegue governo e Parlamento de Israel aprova nova eleição
29/05/19 - Quarta-feira|https://www.jcnet.com.br/Internacional/2019/05/genro-de-trump-promove-plano-de-paz-para-israel-e-palestinos.html|Genro de Trump promove plano de paz para Israel e palestinos
|https://www.jcnet.com.br/Internacional/2019/05/venezuela-culpa-eua-por-morte-de-criancas.html|Venezuela culpa EUA por morte de crianças
|https://www.jcnet.com.br/Internacional/2019/05/americanos-sao-presos-por-dar-agua-e-comida-a-imigrantes-na-fronteira.html|Americanos são presos por dar água e comida a imigrantes na fronteira
|https://www.jcnet.com.br/Nacional/2019/05/papa-francisco-envia-carta-a-lula-oferecendo-proximidade-espiritual.html|Papa Francisco envia carta a Lula oferecendo 'proximidade espiritual'
|https://www.jcnet.com.br/Internacional/2019/05/tusk-escolha-de-presidente-da-comissao-europeia-nao-sera-automatica.html|Tusk: escolha de presidente da Comissão Europeia não será automática
28/05/19 - Terça-feira|https://www.jcnet.com.br/Internacional/2019/05/miley-cyrus-revela-tres-faixas-ineditas-em-show-no-reino-unido.html|Miley Cyrus revela três faixas inéditas em show no Reino Unido
|https://www.jcnet.com.br/Internacional/2019/05/luta-entre-aliados-de-netanyahu-abre-porta-a-nova-eleicao.html|Luta entre aliados de Netanyahu abre porta a nova eleição
|https://www.jcnet.com.br/Internacional/2019/05/esfaqueamento-em-massa-no-japao-deixa-doismortos-e-17-feridos.html|Esfaqueamento em massa no Japão deixa dois mortos e 17 feridos
27/05/19 - Segunda-feira|https://www.jcnet.com.br/Internacional/2019/05/hong-kong-protesto-cobra-china-por-repressao-de-1989.html|Hong Kong: Protesto cobra China por repressão de 1989
|https://www.jcnet.com.br/Internacional/2019/05/ataque-contra-igreja-catolica-deixa-3-mortos-em-burkina-fasso.html|Ataque contra igreja católica deixa 3 mortos em Burkina Fasso
|https://www.jcnet.com.br/Internacional/2019/05/lider-do-spd-alemao-diz-que-quer-continuar-alianca-com-merkel.html|Líder do SPD alemão diz que quer continuar aliança com Merkel
